"outclab_standardized","complab_standardized","review_id","comp.no","outcome.no","group.no","id","studlab","year","event.e","n.e","event.c","n.c","mean.e","sd.e","mean.c","sd.c","O.E","V","TE","seTE","lower.TE","upper.TE","weight","order","level","grplab","overall","test.subgroup","type","method","sm","model","common","random","outclab","k","event.e.pooled","n.e.pooled","event.c.pooled","n.c.pooled","TE.pooled","lower.pooled","upper.pooled","level.ma","weight.pooled","Z.pooled","pval.TE.pooled","Q","pval.Q","I2","tau2","Q.w","pval.Q.w","I2.w","swap.events","logscale","label.e","label.c","label.left","label.right","complab","fixed","filename","cochrane_id","out_comp","outcome_type","monotonicity"
"abnormal neurodevelopment in survivors","2 d-penicillamine versus controls, < 1500 g birth weight",72,2,4,NA,"STD-Lakatos-1986","Lakatos 1986","1986",3,36,4,36,NA,NA,NA,NA,0,0.527777778,0.75,0.726483157,0.180583339,3.114905302,100,92477,0.95,"",TRUE,NA,"D","MH","RR","Random",FALSE,TRUE,"2.4 Abnormal neurodevelopment in survivors",1,3,36,4,36,0.75,0.180583339,3.114905302,0.95,100,0.395992763,0.692110368,0,1,0,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","2 D-Penicillamine versus controls, < 1500 g birth weight",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD001073StatsDataOnly.rm5","CD001073","abnormal neurodevelopment in survivors_2 d-penicillamine versus controls, < 1500 g birth weight","harm","unlikely"
"abstinence at end of treatment (secondary outcome)","1 bupropion versus placebo",888,1,2,1,"STD-_x002a_Evins-2007","*Evins 2007","2007",9,25,5,26,NA,NA,NA,NA,0,0.232649573,1.872,0.482337613,0.727343101,4.818061783,38.007021,389,0.95,"1.2.1 Bupropion + TNP vs. Placebo + TNP",TRUE,TRUE,"D","MH","RR","Random",FALSE,TRUE,"1.2 Abstinence at end of treatment (secondary outcome)",7,44,170,12,170,3.026414561,1.689720361,5.42053307,0.95,100,3.724029253,0.000196068,0.081463673,0.775323609,0,0,1,0.1897022,41.85808643,FALSE,NA,"Bupropion","Placebo","Favours placebo","Favours bupropion","1 Bupropion versus placebo",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007253StatsDataOnly.rm5","CD007253","abstinence at end of treatment (secondary outcome)_1 bupropion versus placebo","benefit","unlikely"
"abstinence at end of treatment (secondary outcome)","1 bupropion versus placebo",888,1,2,1,"STD-_x002a_George-2008","*George 2008","2004",8,30,1,29,NA,NA,NA,NA,0,1.057183908,7.733333333,1.028194489,1.030780025,58.01862956,8.364029311,388,0.95,"1.2.1 Bupropion + TNP vs. Placebo + TNP",TRUE,TRUE,"D","MH","RR","Random",FALSE,TRUE,"1.2 Abstinence at end of treatment (secondary outcome)",7,44,170,12,170,3.026414561,1.689720361,5.42053307,0.95,100,3.724029253,0.000196068,0.081463673,0.775323609,0,0,1,0.1897022,41.85808643,FALSE,NA,"Bupropion","Placebo","Favours placebo","Favours bupropion","1 Bupropion versus placebo",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007253StatsDataOnly.rm5","CD007253","abstinence at end of treatment (secondary outcome)_1 bupropion versus placebo","benefit","unlikely"
"abstinence at end of treatment (secondary outcome)","1 bupropion versus placebo",888,1,2,2,"STD-_x002a_Evins-2001","*Evins 2001","2000",1,10,0,9,NA,NA,NA,NA,0,2.475757576,2.727272727,1.573454027,0.124853889,59.57376744,3.571560188,393,0.95,"1.2.2 Bupropion vs. Placebo",TRUE,TRUE,"D","MH","RR","Random",FALSE,TRUE,"1.2 Abstinence at end of treatment (secondary outcome)",7,44,170,12,170,3.026414561,1.689720361,5.42053307,0.95,100,3.724029253,0.000196068,0.081463673,0.775323609,0,0,2,0.823476795,0,FALSE,NA,"Bupropion","Placebo","Favours placebo","Favours bupropion","1 Bupropion versus placebo",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007253StatsDataOnly.rm5","CD007253","abstinence at end of treatment (secondary outcome)_1 bupropion versus placebo","benefit","unlikely"
"abstinence at end of treatment (secondary outcome)","1 bupropion versus placebo",888,1,2,2,"STD-_x002a_Evins-2005","*Evins 2005","2005",4,25,0,28,NA,NA,NA,NA,0,2.149277925,10.03846154,1.466041584,0.567244509,177.6495116,4.114087383,390,0.95,"1.2.2 Bupropion vs. Placebo",TRUE,TRUE,"D","MH","RR","Random",FALSE,TRUE,"1.2 Abstinence at end of treatment (secondary outcome)",7,44,170,12,170,3.026414561,1.689720361,5.42053307,0.95,100,3.724029253,0.000196068,0.081463673,0.775323609,0,0,2,0.823476795,0,FALSE,NA,"Bupropion","Placebo","Favours placebo","Favours bupropion","1 Bupropion versus placebo",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007253StatsDataOnly.rm5","CD007253","abstinence at end of treatment (secondary outcome)_1 bupropion versus placebo","benefit","unlikely"
"abstinence at end of treatment (secondary outcome)","1 bupropion versus placebo",888,1,2,2,"STD-_x002a_George-2002","*George 2002","2004",6,16,1,16,NA,NA,NA,NA,0,1.041666667,6,1.020620726,0.811703303,44.35118086,8.488624506,392,0.95,"1.2.2 Bupropion vs. Placebo",TRUE,TRUE,"D","MH","RR","Random",FALSE,TRUE,"1.2 Abstinence at end of treatment (secondary outcome)",7,44,170,12,170,3.026414561,1.689720361,5.42053307,0.95,100,3.724029253,0.000196068,0.081463673,0.775323609,0,0,2,0.823476795,0,FALSE,NA,"Bupropion","Placebo","Favours placebo","Favours bupropion","1 Bupropion versus placebo",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007253StatsDataOnly.rm5","CD007253","abstinence at end of treatment (secondary outcome)_1 bupropion versus placebo","benefit","unlikely"
"abstinence at end of treatment (secondary outcome)","1 bupropion versus placebo",888,1,2,2,"STD-_x002a_Li-2009","*Li 2009","2009",12,40,3,40,NA,NA,NA,NA,0,0.366666667,4,0.605530071,1.220764413,13.10654196,24.11541053,391,0.95,"1.2.2 Bupropion vs. Placebo",TRUE,TRUE,"D","MH","RR","Random",FALSE,TRUE,"1.2 Abstinence at end of treatment (secondary outcome)",7,44,170,12,170,3.026414561,1.689720361,5.42053307,0.95,100,3.724029253,0.000196068,0.081463673,0.775323609,0,0,2,0.823476795,0,FALSE,NA,"Bupropion","Placebo","Favours placebo","Favours bupropion","1 Bupropion versus placebo",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007253StatsDataOnly.rm5","CD007253","abstinence at end of treatment (secondary outcome)_1 bupropion versus placebo","benefit","unlikely"
"abstinence at end of treatment (secondary outcome)","1 bupropion versus placebo",888,1,2,2,"STD-_x002a_Weiner-2012","*Weiner 2012","2003",4,24,2,22,NA,NA,NA,NA,0,0.662878788,1.833333333,0.814173684,0.371719666,9.042058888,13.33926708,394,0.95,"1.2.2 Bupropion vs. Placebo",TRUE,TRUE,"D","MH","RR","Random",FALSE,TRUE,"1.2 Abstinence at end of treatment (secondary outcome)",7,44,170,12,170,3.026414561,1.689720361,5.42053307,0.95,100,3.724029253,0.000196068,0.081463673,0.775323609,0,0,2,0.823476795,0,FALSE,NA,"Bupropion","Placebo","Favours placebo","Favours bupropion","1 Bupropion versus placebo",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007253StatsDataOnly.rm5","CD007253","abstinence at end of treatment (secondary outcome)_1 bupropion versus placebo","benefit","unlikely"
"abstinence at longest follow-up","4 alcohol or other drug abstinence",1474,4,1,NA,"STD-Bobo-1996","Bobo 1996","1996",27,30,45,60,NA,NA,NA,NA,0,0.009259259,1.2,0.096225045,0.993743588,1.449065954,4.796394043,182,0.95,"",TRUE,NA,"D","MH","RR","Fixed",TRUE,FALSE,"4.1 Abstinence at longest follow-up",11,625,1147,622,1084,0.967217929,0.908021924,1.030273056,0.95,100,1.034409044,0.300944993,0,1,65.56822737,0,NA,NA,NA,FALSE,NA,"Intervention","No intervention","No effect","Increases abstinence","4 Alcohol or other drug abstinence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD010274StatsDataOnly.rm5","CD010274","abstinence at longest follow-up_4 alcohol or other drug abstinence","benefit","unlikely"
"abstinence at longest follow-up","4 alcohol or other drug abstinence",1474,4,1,NA,"STD-Bobo-1998","Bobo 1998","1998",79,232,81,231,NA,NA,NA,NA,0,0.016364558,0.971104725,0.127924031,0.755747875,1.24782936,12.97823425,183,0.95,"",TRUE,NA,"D","MH","RR","Fixed",TRUE,FALSE,"4.1 Abstinence at longest follow-up",11,625,1147,622,1084,0.967217929,0.908021924,1.030273056,0.95,100,1.034409044,0.300944993,0,1,65.56822737,0,NA,NA,NA,FALSE,NA,"Intervention","No intervention","No effect","Increases abstinence","4 Alcohol or other drug abstinence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD010274StatsDataOnly.rm5","CD010274","abstinence at longest follow-up_4 alcohol or other drug abstinence","benefit","unlikely"
